1727620148.344279051 1.230000000 1
1727620148.844890118 1.030000000 2
1727620149.345370054 0.901000000 3
1727620149.854382992 0.998000000 4
1727620150.354883909 0.938000000 5
1727620150.862426996 1.040000000 6
1727620151.362997055 1.000000000 7
1727620151.863656998 1.100000000 8
1727620152.364207983 0.987000000 9
1727620152.864855051 1.090000000 10
1727620153.365528107 1.110000000 11
1727620153.866219997 1.130000000 12
1727620154.366868973 1.090000000 13
1727620154.867465019 1.040000000 14
1727620155.368036985 1.010000000 15
1727620155.868571043 0.955000000 16
1727620156.369251013 1.100000000 17
1727620156.869832039 1.020000000 18
1727620157.370671988 1.280000000 19
1727620157.871303082 1.080000000 20
1727620158.371618032 0.762000000 21
1727620158.878783941 1.400000000 22
1727620159.379066944 0.723000000 23
1727620159.886029005 0.647000000 24
1727620160.390398026 0.961000000 25
1727620160.891923904 1.960000000 26
1727620161.391407013 0.920000000 27
1727620161.894098043 0.716000000 28
1727620162.398138046 0.753000000 29
1727620162.902167082 0.788000000 30
1727620163.406230927 0.851000000 31
1727620163.910372019 0.988000000 32
1727620164.410722971 0.775000000 33
1727620164.918095112 0.710000000 34
1727620165.422255993 0.859000000 35
1727620165.926235914 0.848000000 36
1727620166.430373907 0.977000000 37
1727620166.930646896 0.705000000 38
1727620167.438035011 0.646000000 39
1727620167.942166090 0.780000000 40
1727620168.446134090 0.744000000 41
1727620168.950372934 0.975000000 42
1727620169.451033115 1.100000000 43
1727620169.951318026 0.722000000 44
1727620170.454083920 0.698000000 45
1727620170.958056927 0.664000000 46
1727620171.462430954 1.050000000 47
1727620171.962658882 0.664000000 48
1727620172.469991922 0.600000000 49
1727620172.974029064 0.648000000 50
1727620173.478584051 1.200000000 51
1727620173.978854895 0.725000000 52
1727620174.486110926 0.718000000 53
1727620174.990041018 0.654000000 54
1727620175.494133949 0.739000000 55
1727620175.998275995 0.884000000 56
1727620176.502279043 0.876000000 57
1727620177.006154060 0.763000000 58
1727620177.510349035 0.950000000 59
1727620178.010899067 0.994000000 60
1727620178.511856079 1.380000000 61
1727620179.012161016 0.744000000 62
1727620179.518174887 0.783000000 63
1727620180.022135973 0.745000000 64
1727620180.526137114 0.743000000 65
1727620181.030219078 0.824000000 66
1727620181.534089088 0.693000000 67
1727620182.038233042 0.835000000 68
